match_id,date,date_unix,status,game_week,season,fetch_date,league_id,league_name,homeID,home_name,awayID,away_name,team_a_xg_prematch,team_b_xg_prematch,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_1_prob,odds_ft_x_prob,odds_ft_2_prob,odds_ft_over05,odds_ft_under05,odds_ft_over15,odds_ft_under15,odds_ft_over25,odds_ft_under25,odds_ft_over35,odds_ft_under35,odds_ft_over45,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_doublechance_1x,odds_doublechance_12,odds_doublechance_x2,btts_potential,o05_potential,o15_potential,o25_potential,o35_potential,o45_potential,CTMCL,IP_OVER,avg_goals_market,pre_total_xg,odds_corners_over_85,odds_corners_over_95,team_a_attacks,team_b_attacks,team_a_dangerous_attacks,team_b_dangerous_attacks,team_a_penalties_won,team_b_penalties_won
8007604,2026-02-06 19:00:00,1770404400,incomplete,22,2025/2026,2026-02-06,14936,Netherlands Eredivisie,385,NAC Breda,374,Excelsior,1.55,1.25,1.95,3.7,3.85,0.4917580046603954,0.259169759212911,0.24907223612669369,1.05,10.0,1.25,3.5,1.85,1.95,3.1,1.33,5.75,1.11,1.7,2.0,1.25,0,1.95,67,95,77,63,34,20,2.5405405405405403,0.5405405405405405,2.36,2.8,1.37,1.72,0,0,0,0,0,0
8227803,2026-02-06 19:30:00,1770406200,incomplete,21,2025/2026,2026-02-06,14968,Germany Bundesliga,541,Union Berlin,44,Eintracht Frankfurt,1.37,1.36,1.91,3.3,2.9,0.4469456379600224,0.2586867177283766,0.29436764431160095,1.05,10.0,1.29,3.4,1.94,1.85,3.4,1.3,6.0,1.11,1.7,2.05,1.3,0,1.7,80,90,90,80,65,30,2.515463917525773,0.5154639175257733,2.4,2.7300000000000004,1.56,1.84,0,0,0,0,0,0
8238456,2026-02-06 19:45:00,1770407100,incomplete,24,2025/2026,2026-02-06,15068,Italy Serie A,473,Hellas Verona,507,Pisa,1.37,1.05,2.04,3.0,3.25,0.43333333333333335,0.29466666666666663,0.272,1.05,7.0,1.44,2.75,2.4,1.53,4.6,1.18,9.3,1.0,1.98,1.82,1.36,0,1.53,73,96,82,69,55,14,2.4166666666666665,0.4166666666666667,2.37,2.42,1.68,2.48,0,0,0,0,0,0
8360547,2026-02-06 19:45:00,1770407100,incomplete,21,2025/2026,2026-02-06,14932,France Ligue 1,438,Metz,441,Lille,1.13,1.58,4.75,3.7,1.66,0.19435478767166633,0.24950952471362567,0.556135687614708,1.01,12.5,1.2,4.0,1.81,2.05,2.88,1.4,5.15,1.1,1.7,2.05,2.3,0,1.15,37,95,74,47,26,26,2.552486187845304,0.5524861878453039,2.23,2.71,1.54,1.95,0,0,0,0,0,0
8200769,2026-02-06 20:00:00,1770408000,incomplete,23,2025/2026,2026-02-06,14956,Spain La Liga,281,Celta de Vigo,287,CA Osasuna,1.33,1.04,1.84,3.15,3.65,0.47887294612549197,0.2797226098002874,0.24140444407422063,1.04,8.0,1.36,3.08,2.32,1.63,4.0,1.21,7.2,1.03,1.91,1.8,1.33,0,1.83,46,96,68,27,18,9,2.4310344827586206,0.4310344827586207,2.09,2.37,1.69,2.12,0,0,0,0,0,0
8223604,2026-02-06 20:00:00,1770408000,incomplete,25,2025/2026,2026-02-06,15050,England Premier League,222,Leeds United,211,Nottingham Forest,1.51,1.21,2.2,3.25,3.42,0.43099771220287714,0.29175229749117837,0.2772499903059443,1.06,7.6,1.32,3.05,2.05,1.82,3.67,1.25,6.5,1.08,1.75,1.95,1.33,0,1.67,50,96,79,55,25,9,2.4878048780487805,0.48780487804878053,2.26,2.7199999999999998,1.44,2.05,0,0,0,0,0,0
8405578,2026-02-07 01:00:00,1770426000,incomplete,5,2025/2026,2026-02-07,15234,Mexico Liga MX,1423,Tigres UANL,1426,Santos Laguna,1.74,1.21,1.3,5.3,7.57,0.7057095616688948,0.1730985717301063,0.12119186660099909,1.01,21.0,1.13,5.5,1.42,2.7,2.12,1.7,3.9,1.22,1.67,2.02,1.04,0,3.83,52,95,73,56,39,17,2.704225352112676,0.7042253521126761,2.33,2.95,1.3,1.58,0,0,0,0,0,0
8405620,2026-02-07 01:00:00,1770426000,incomplete,5,2025/2026,2026-02-07,15234,Mexico Liga MX,1428,Necaxa,1449,Atlético San Luis,1.62,1.24,2.1,3.41,3.23,0.44130810191399256,0.27177331789424763,0.2869185801917599,1.02,9.85,1.26,3.86,1.88,1.95,2.97,1.3,5.8,1.07,1.66,2.1,1.28,0,1.67,65,100,81,53,36,22,2.5319148936170213,0.5319148936170213,2.2199999999999998,2.8600000000000003,1.48,2.03,0,0,0,0,0,0
8405583,2026-02-07 03:00:00,1770433200,incomplete,5,2025/2026,2026-02-07,15234,Mexico Liga MX,1418,Tijuana,1433,Puebla,1.3,1.28,1.6,3.85,4.87,0.5733529043010259,0.2382765316575692,0.18837056404140481,1.05,11.5,1.21,3.58,1.83,2.0,2.75,1.37,5.76,1.14,1.78,1.93,1.24,0,2.17,51,91,77,58,40,23,2.5464480874316937,0.5464480874316939,2.31,2.58,1.49,1.81,0,0,0,0,0,0
8405617,2026-02-07 03:06:00,1770433560,incomplete,5,2025/2026,2026-02-07,15234,Mexico Liga MX,686211,Mazatlán,1431,Guadalajara,1.08,1.53,7.0,4.6,1.46,0.13668186258547702,0.2079941387170303,0.6553239986974926,1.02,13.0,1.17,4.4,1.62,2.25,2.55,1.44,4.33,1.18,1.7,1.97,1.17,0,1.06,62,93,73,60,37,20,2.617283950617284,0.6172839506172839,2.37,2.6100000000000003,1.45,1.99,0,0,0,0,0,0
8223759,2026-02-07 12:30:00,1770467400,incomplete,25,2025/2026,2026-02-07,15050,England Premier League,149,Manchester United,92,Tottenham Hotspur,1.9,1.2,1.57,4.6,4.65,0.5956143404107205,0.20328576400974593,0.20109989557953356,1.02,16.0,1.08,5.55,1.49,2.61,2.25,1.72,3.9,1.26,1.51,2.39,1.18,0,2.3,54,96,79,59,38,25,2.6711409395973154,0.6711409395973155,2.3,3.0999999999999996,1.31,1.58,0,0,0,0,0,0
8200746,2026-02-07 13:00:00,1770469200,incomplete,23,2025/2026,2026-02-07,14956,Spain La Liga,291,Rayo Vallecano,309,Real Oviedo,1.68,1.08,1.7,3.18,3.91,0.5077756178839211,0.271452374340461,0.2207720077756179,1.05,7.5,1.41,2.95,2.25,1.62,4.2,1.2,7.2,1.06,1.95,1.75,1.3,0,1.95,48,90,71,33,19,9,2.4444444444444446,0.4444444444444444,2.12,2.76,1.46,1.89,0,0,0,0,0,0
